,review,point,date,ingre,token_review
2392,요즘 얼굴이 윤기가 없고 푸석푸석하길래 평이 좋아 구입했어요. 아직 사용전이라..화장품이란게 효과는 머 보통 2주에서 4주정도 써봐야 알 수 있지 않나요? 꼭 누가 쓰던 것처럼 윗부분이 좀 비어 있고 제조일이 4개월이나 지난 6월이라 좀 그러네요. 암튼 써보고 효과 좋으면 꾸준히 써볼 예정이에요.,3,2018-10-24,프로폴리스,"['요즘', '얼굴', '이윤기', '가', '없고', '푸석푸석하길래', '평이', '좋아', '구입', '했어요', '아직', '사용', '전이', '라', '화장품', '이란', '게', '효과', '는', '머', '보통주', '에서', '주정', '도', '써', '봐야', '알수있지', '않나요', '꼭', '누가', '쓰던것처럼', '윗', '부분', '이', '좀비', '어', '있고', '제조', '일이', '개월', '이나', '지난', '월', '이라', '좀', '그러네요', '암튼', '써', '보고', '효과', '좋으면', '꾸준히', '써', '볼', '예정', '이에요']"
2393,좋아효,5,2018-10-25,프로폴리스,"['좋아', '효']"
2394,항상쓰는제품,5,2018-10-25,프로폴리스,"['항상', '쓰는', '제품']"
2395,분명 두개 시켰는데 이렇게나 많이 잘못 온줄 알았어요 잘쓰겠습니다,4,2018-10-25,프로폴리스,"['분명', '두', '개시', '켰는데', '이렇게나', '많이', '잘못', '온줄', '알았어요', '잘쓰겠습니다']"
2396,믿고 네통째 구입중입니다 너무 좋아요 이앰플,5,2018-10-26,프로폴리스,"['믿고', '네', '통째', '구입', '중', '입니다', '너무', '좋아요', '이', '앰', '플']"
2397,짱짱 늘 쓰던거 좋은가격에 구매했네용 ㅎㅎ 이가격이면 다쓰고 재구매할게요,5,2018-10-26,프로폴리스,"['짱', '짱', '늘', '쓰던거', '좋은', '가격', '에', '구매', '했', '네', '용이', '가격', '이', '면', '다', '쓰고', '재구매', '할게요']"
2398,항상쓰는 제품이예요 아침저녁 듬뿍 발라서 한달이면 없어져요~,5,2018-10-27,프로폴리스,"['항상', '쓰는', '제품', '이', '예요', '아침', '저녁', '듬뿍', '발라', '서한', '달이', '면', '없어져요']"
2399,저렴하게 사서 좋네요추천받아샀는데 다써보고 재구매하러올개요,5,2018-10-27,프로폴리스,"['저렴하게', '사서', '좋네요', '추천', '받아', '샀는데다', '써', '보고', '재구매', '하러', '올', '개요']"
2400,기대감이 높아요좋다고 하는데 피부에 윤기나고 싶어요.잘 사용하도록 할게요^^,5,2018-10-27,프로폴리스,"['기', '대감', '이', '높아요', '좋다고', '하는데', '피부', '에', '윤기', '나고싶어요', '잘사', '용하도록', '할게요']"
2401,저녘에사용하면꿀 가격이좀 ..,4,2018-10-28,프로폴리스,"['저', '녘', '에', '사용', '하', '면', '꿀', '가격', '이', '좀']"
2402,어머니께 선물했는데 좋타고 하시네요,5,2018-10-30,프로폴리스,"['어머니', '께', '선물', '했는데', '좋', '타고하시네요']"
2403,ㅓㄹ굴에서 광이나요 ㅎㅎ,5,2018-10-30,프로폴리스,"['굴', '에서', '광', '이나', '요']"
2404,펩타이드라서 다음날 재생에좋아요 촉촉하니좋내여,5,2018-10-31,프로폴리스,"['펩타이드', '라서', '다음', '날', '재생', '에', '좋아요', '촉촉하니', '좋내여']"
2405,상품 품질이 좋아요. 추천합니다!,5,2018-10-31,프로폴리스,"['상품', '품질', '이', '좋아요', '추천', '합니다']"
2406,좋은상품 척한가격에 잘 구입했습니다,3,2018-11-01,프로폴리스,"['좋은', '상품', '척', '한', '가격', '에', '잘', '구입', '했습니다']"
2407,엄청 쫀쫀해지지는 않지만.. 그래도 속당김이 덜해서 좋네요.,5,2018-11-01,프로폴리스,"['엄청', '쫀쫀', '해지', '지는', '않지만', '그래', '도속', '당김이', '덜해서', '좋네요']"
2408,제조날짜가 2017.10.30일 이에요.,1,2018-11-01,프로폴리스,"['제', '조', '날짜', '가일', '이에요']"
2409,일주일 이상 걸리네요..ㅠㅠ,4,2018-11-02,프로폴리스,"['일주일', '이상', '걸리네요']"
2410,좋아요,5,2018-11-03,프로폴리스,['좋아요']
2411,늘 이것만 써요 가성비 굿굿,5,2018-11-04,프로폴리스,"['늘이것만', '써', '요가', '성비', '굿굿']"
2412,겨울에 프로폴리스 제품으로 피부를 지켜줄려고요. 잘 사용할게요.,4,2018-11-04,프로폴리스,"['겨울', '에', '프로폴리스', '제품', '으로', '피부', '를', '지켜줄려고요', '잘사', '용할게요']"
