,나이,성별,건성,지성,모름,건조함,과잉피지,여드름,좁쌀,홍조&예민,복합성,기미&잡티,미백앰플,수분라이트,수분앰플,쑥앰플,진정앰플
251,6.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
252,5.0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1
253,3.0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1
254,6.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
255,4.0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0
256,4.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
257,5.0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
258,4.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
259,2.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
260,4.0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1
261,4.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
262,5.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
263,3.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
264,3.0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1
265,5.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
266,4.0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0
267,5.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
268,7.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
269,2.0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1
270,4.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
271,6.0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1
272,3.0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1
273,3.0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0
274,2.0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1
275,5.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
276,3.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
277,4.0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
278,5.0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1
279,5.0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
280,6.0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
281,5.0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1
282,4.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
283,7.0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1
284,8.0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
285,1.0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1
286,4.0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1
287,3.0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
288,5.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
289,4.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1
290,5.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
291,2.0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0
292,5.0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0
293,3.0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
294,4.0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
295,5.0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
296,3.0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
297,3.0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0
298,5.0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0
299,4.0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0
300,3.0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1
301,5.0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1
302,4.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
303,5.0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1
304,3.0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1
305,5.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
306,4.0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1
307,4.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
308,6.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
309,4.0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1
310,3.0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1
311,4.0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
312,3.0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
313,4.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
314,5.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
315,5.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
316,4.0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1
317,5.0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1
318,4.0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1
319,5.0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1
320,3.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
321,8.0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
322,2.0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1
323,3.0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
324,2.0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
325,7.0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
326,5.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
